alt_ft,angle_deg,b_extra_offset_nm,conflict,cross_track_offset_nm,dt_s,encounter_type,horizon_s,initial_sep_nm,scenario_id,sep_nm,speed_a_kts,speed_b_kts,speed_kts,start_offset_nm,t_intersect_s,time_offset_s,ttc_s
30000.0,16.477500508924408,,True,9.355999898403429,1.0,angle,180.0,,0,,471.0208704540985,346.34120110633125,,,150.1881198142158,26.388232292719323,1.0
32000.0,,,False,,1.0,overtake,180.0,22.508195175875695,1,,311.5432864226769,263.68854538304635,,,,,-1.0
28000.0,,6.262658534061013,True,,1.0,crossing,180.0,,2,,,,459.24163887269526,17.7490109368313,,,151.0
30000.0,,1.843560840718128,True,,1.0,crossing,180.0,,3,,,,445.6089800396286,7.876503548523806,,,44.0
30000.0,,,False,,1.0,overtake,180.0,14.875714617342707,4,,373.99760580816684,290.75826590384816,,,,,-1.0
32000.0,,21.632748194291,False,,1.0,crossing,180.0,,5,,,,309.91323139015066,15.063185754501625,,,-1.0
28000.0,,,True,,1.0,head_on,180.0,,6,38.22759682896607,,,341.7294147115818,,,,176.0
32000.0,,,True,,1.0,head_on,180.0,,7,28.730270391543634,,,449.5486383633396,,,,96.0
32000.0,,21.761780802716366,False,,1.0,crossing,180.0,,8,,,,293.9454310455498,12.178882892200411,,,-1.0
28000.0,,3.5623598477206113,False,,1.0,crossing,180.0,,9,,,,374.88769026870284,21.263556028777842,,,-1.0
28000.0,,,True,,1.0,head_on,180.0,,10,49.715305249708095,,,451.2700760873135,,,,179.0
28000.0,58.23148673923878,,True,-5.935962950611334,1.0,angle,180.0,,11,,295.68357485313686,252.45078580330784,,,79.93006153208034,33.77997847812391,99.0
30000.0,,,True,,1.0,overtake,180.0,4.107538183887284,12,,462.99637341581604,379.5870038642006,,,,,1.0
30000.0,,20.53668036809741,False,,1.0,crossing,180.0,,13,,,,257.58365542395285,9.49350572823312,,,-1.0
30000.0,,,True,,1.0,overtake,180.0,3.588960715129674,14,,401.78968196269017,355.74479186177837,,,,,1.0
28000.0,,22.454328033946975,False,,1.0,crossing,180.0,,15,,,,462.30896115864067,22.006744239663465,,,-1.0
32000.0,47.68027764497514,,True,-4.495783679103389,1.0,angle,180.0,,16,,275.9523367338637,396.66333312800754,,,139.0315958408399,-6.446140659037233,131.0
32000.0,112.59149193317631,,False,-7.693005131714912,1.0,angle,180.0,,17,,402.05863623622594,475.43970023292695,,,82.88410551760165,-14.05401252938324,-1.0
28000.0,,,False,,1.0,overtake,180.0,7.589819307422694,18,,409.72470279987317,366.2978441581696,,,,,-1.0
30000.0,,8.313403730491387,False,,1.0,crossing,180.0,,19,,,,437.66001220274165,21.097076462500944,,,-1.0
28000.0,,,False,,1.0,head_on,180.0,,20,43.92355001942938,,,300.3179185867595,,,,-1.0
28000.0,,,True,,1.0,head_on,180.0,,21,13.226636325344412,,,293.35974312914783,,,,51.0
30000.0,,,True,,1.0,head_on,180.0,,22,11.844337832524456,,,441.7842190378817,,,,28.0
28000.0,,,True,,1.0,head_on,180.0,,23,33.43117514929722,,,294.75591980693633,,,,174.0
32000.0,,5.264412747166161,True,,1.0,crossing,180.0,,24,,,,434.1717157814616,8.354008124064203,,,72.0
32000.0,,,True,,1.0,head_on,180.0,,25,25.87599094260632,,,273.345050456059,,,,138.0
28000.0,,,True,,1.0,overtake,180.0,7.079073240275299,26,,439.443937446371,349.38514396706455,,,,,84.0
28000.0,,0.9844676771173094,True,,1.0,crossing,180.0,,27,,,,273.2118854734623,15.569093598987857,,,166.0
28000.0,51.62132067508136,,True,3.9539414156437758,1.0,angle,180.0,,28,,455.14364458781154,342.2562019375332,,,148.27650778157894,5.581483345880862,62.0
28000.0,,3.955215745684615,False,,1.0,crossing,180.0,,29,,,,287.24943614551336,20.984317510186386,,,-1.0
28000.0,,,False,,1.0,overtake,180.0,15.726202049796454,30,,363.42670363010404,308.4628067398158,,,,,-1.0
32000.0,75.58486330520873,,True,6.753223487379579,1.0,angle,180.0,,31,,367.96931227631285,352.2360338162846,,,77.3735201200248,-11.427865392778969,1.0
28000.0,,,False,,1.0,overtake,180.0,14.89380503363105,32,,390.80213924799557,222.48726376586288,,,,,-1.0
32000.0,,,True,,1.0,overtake,180.0,3.051019352073583,33,,344.20271440894044,276.17663284366967,,,,,1.0
30000.0,107.62170468315828,,True,-7.353114379105071,1.0,angle,180.0,,34,,395.08489946568244,373.4721984430813,,,147.03322497047293,28.301950467274693,170.0
30000.0,,,False,,1.0,overtake,180.0,19.21517526754449,35,,421.92517556601325,385.7805541915191,,,,,-1.0
32000.0,,5.985399004648964,True,,1.0,crossing,180.0,,36,,,,396.60186225973905,12.35363212258753,,,123.0
32000.0,150.06774267408275,,True,-1.6354689341506798,1.0,angle,180.0,,37,,367.7193694366499,327.74566313774756,,,88.27204901428955,16.146369914694034,73.0
28000.0,,,True,,1.0,head_on,180.0,,38,26.704791968190854,,,309.6221923928612,,,,127.0
30000.0,,12.181640026725802,False,,1.0,crossing,180.0,,39,,,,379.12313289131816,16.023889473184678,,,-1.0
28000.0,,,True,,1.0,head_on,180.0,,40,28.772472155762046,,,321.7733966758808,,,,133.0
28000.0,139.44733717765797,,True,2.6617751983660085,1.0,angle,180.0,,41,,447.50424618487045,431.2278824145774,,,62.56015528609936,39.953628756426426,67.0
32000.0,,,True,,1.0,head_on,180.0,,42,13.481913577366633,,,253.38773595107992,,,,61.0
30000.0,10.542849556833094,,True,2.2412392642772705,1.0,angle,180.0,,43,,223.71574168282953,416.23599336007953,,,157.62935711985654,14.060951786247472,101.0
