scenario_id,h0_nm,v0_ft,min_h_nm,t_at_min_h_s,min_v_ft,conflict,ttc_s,encounter_type
0,10.0,0.0,1.9549517080292167e-14,50.0,0.0,True,26.0,head_on
1,15.0,0.0,3.7314799365501246e-14,75.0,0.0,True,51.0,head_on
2,20.0,0.0,1.4263525213608343e-14,100.0,0.0,True,75.0,head_on
3,25.0,0.0,8.527886887838776e-14,125.0,0.0,True,100.0,head_on
4,14.142135623730951,0.0,2.7010263461295593e-14,100.0,0.0,True,65.0,crossing
5,15.620499351813308,0.0,1.4142135623730994,110.0,0.0,True,77.0,crossing
6,17.204650534085253,0.0,2.828427124746201,120.0,0.0,True,91.0,crossing
7,18.867962264113206,0.0,4.242640687119302,130.0,0.0,True,112.0,crossing
8,20.591260281974,0.0,5.65685424949238,140.0,0.0,False,-1.0,crossing
9,22.360679774997898,0.0,7.07106781186545,150.0,0.0,False,-1.0,crossing
